GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test_bdd,com.example.exception,OrderRefusedException,0,4,0,0,0,2,0,1,0,1
test_bdd,com.example.service,OrderService,0,75,0,5,0,18,0,6,0,3
test_bdd,com.example.domain,OrderReceipt,0,27,0,0,0,10,0,5,0,5
test_bdd,com.example.domain,Order,0,21,0,0,0,8,0,4,0,4
test_bdd,com.example.domain,CustomerProfile,0,21,0,0,0,4,0,1,0,1
test_bdd,com.example.domain,Product,0,31,0,0,0,11,0,6,0,6
