GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test_bdd,com.example,Roll,0,9,0,0,0,4,0,2,0,2
test_bdd,com.example,Frame,0,153,0,30,0,30,0,22,0,7
test_bdd,com.example,NotImplementedException,3,0,0,0,1,0,1,0,1,0
